 "rsNr" , "dateApplicability" , "title" , "abrev" , "fileUrl" ,
 "0.101" , "2022-09-16" , "Convention du 4 novembre 1950 de sauvegarde des droits de l'homme et des libertés fondamentales (CEDH)" , "CEDH" , "https://fedlex.data.admin.ch/filestore/fedlex.data.admin.ch/eli/cc/1974/2151_2151_2151/20220916/fr/pdf-a/fedlex-data-admin-ch-eli-cc-1974-2151_2151_2151-20220916-fr-pdf-a-1.pdf" ,
 "0.101.06" , "2020-06-29" , "Protocole n<sup>o</sup> 6 du 28 avril 1983 à la Convention de sauvegarde des droits de l'homme et des libertés fondamentales concernant l'abolition de la peine de mort" ,  , "https://fedlex.data.admin.ch/filestore/fedlex.data.admin.ch/eli/cc/1987/1807_1807_1807/20200629/fr/pdf-a/fedlex-data-admin-ch-eli-cc-1987-1807_1807_1807-20200629-fr-pdf-a.pdf" ,
 "0.101.07" , "2022-09-16" , "Protocole n<sup>o</sup> 7 du 22 novembre 1984 à la Convention de sauvegarde des droits de l'homme et des libertés fondamentales" ,  , "https://fedlex.data.admin.ch/filestore/fedlex.data.admin.ch/eli/cc/1988/1598_1598_1598/20220916/fr/pdf-a/fedlex-data-admin-ch-eli-cc-1988-1598_1598_1598-20220916-fr-pdf-a.pdf" ,
 "0.101.09" , "2022-03-16" , "Protocole n<sup>o</sup> 11 du 11 mai 1994 à la convention de sauvegarde des Droits de l'Homme et des Libertés fondamentales portant restructuration du mécanisme de contrôle établie par la Convention" ,  , "https://fedlex.data.admin.ch/filestore/fedlex.data.admin.ch/eli/cc/1998/2993_2993_2993/20220316/fr/pdf-a/fedlex-data-admin-ch-eli-cc-1998-2993_2993_2993-20220316-fr-pdf-a-2.pdf" ,
 "0.101.093" , "2016-06-01" , "Protocole n<sup>o</sup> 13 du 3 mai 2002 à la Convention de sauvegarde des droits de l'homme et des libertés fondamentales, relatif à l'abolition de la peine de mort en toutes circonstances" ,  , "https://fedlex.data.admin.ch/filestore/fedlex.data.admin.ch/eli/cc/2003/396/20160601/fr/pdf-a/fedlex-data-admin-ch-eli-cc-2003-396-20160601-fr-pdf-a.pdf" ,
 "0.101.094" , "2022-03-16" , "Protocole n<sup>o</sup> 14 du 13 mai 2004 à la Convention de sauvegarde des droits de l'homme et des libertés fondamentales, amendant le système de contrôle de la Convention" ,  , "https://fedlex.data.admin.ch/filestore/fedlex.data.admin.ch/eli/cc/2009/377/20220316/fr/pdf-a/fedlex-data-admin-ch-eli-cc-2009-377-20220316-fr-pdf-a-1.pdf" ,
 "0.101.095" , "2022-03-16" , "Protocole n° 15 du 24 juin 2013 portant amendement à la Convention de sauvegarde des droits de l’homme et des libertés fondamentales" ,  , "https://fedlex.data.admin.ch/filestore/fedlex.data.admin.ch/eli/cc/2021/461/20220316/fr/pdf-a/fedlex-data-admin-ch-eli-cc-2021-461-20220316-fr-pdf-a.pdf" ,
 "0.101.1" , "2016-07-21" , "Accord européen du 6 mai 1969 concernant les personnes participant aux procédures devant la Commission et la Cour européennes des Droits de l'Homme" ,  , "https://fedlex.data.admin.ch/filestore/fedlex.data.admin.ch/eli/cc/1974/2178_2178_2178/20160721/fr/pdf-a/fedlex-data-admin-ch-eli-cc-1974-2178_2178_2178-20160721-fr-pdf-a.pdf" ,
 "0.101.2" , "2023-03-03" , "Règlement de la Cour européenne des droits de l'homme du 4 novembre 1998" ,  , "https://fedlex.data.admin.ch/filestore/fedlex.data.admin.ch/eli/cc/2006/596/20230303/fr/pdf-a/fedlex-data-admin-ch-eli-cc-2006-596-20230303-fr-pdf-a-1.pdf" ,
 "0.101.3" , "2020-07-02" , "Accord européen du 5 mars 1996 concernant les personnes participant aux procédures devant la Cour européenne des droits de l'homme" ,  , "https://fedlex.data.admin.ch/filestore/fedlex.data.admin.ch/eli/cc/2000/255/20200702/fr/pdf-a/fedlex-data-admin-ch-eli-cc-2000-255-20200702-fr-pdf-a.pdf" ,
 "0.102" , "2022-03-16" , "Charte européenne de l'autonomie locale du 15 octobre 1985" ,  , "https://fedlex.data.admin.ch/filestore/fedlex.data.admin.ch/eli/cc/2005/412/20220316/fr/pdf-a/fedlex-data-admin-ch-eli-cc-2005-412-20220316-fr-pdf-a.pdf" ,
 "0.102.1" , "2023-07-05" , "Protocole additionnel du 16 novembre 2009 à la Charte européenne de l'autonomie locale sur le droit de participer aux affaires des collectivités locales" ,  , "https://fedlex.data.admin.ch/filestore/fedlex.data.admin.ch/eli/cc/2017/521/20230705/fr/pdf-a/fedlex-data-admin-ch-eli-cc-2017-521-20230705-fr-pdf-a.pdf" ,
 "0.103.1" , "2022-02-17" , "Pacte international du 16 décembre 1966 relatif aux droits économiques, sociaux et culturels" ,  , "https://fedlex.data.admin.ch/filestore/fedlex.data.admin.ch/eli/cc/1993/725_725_725/20220217/fr/pdf-a/fedlex-data-admin-ch-eli-cc-1993-725_725_725-20220217-fr-pdf-a.pdf" ,
 "0.103.2" , "2022-05-09" , "Pacte international du 16 décembre 1966 relatif aux droits civils et politiques" ,  , "https://fedlex.data.admin.ch/filestore/fedlex.data.admin.ch/eli/cc/1993/750_750_750/20220509/fr/pdf-a/fedlex-data-admin-ch-eli-cc-1993-750_750_750-20220509-fr-pdf-a.pdf" ,
 "0.103.22" , "2020-01-29" , "Deuxième protocole facultatif du 15 décembre 1989 se rapportant au Pacte international relatif aux droits civils et politiques, visant à abolir la peine de mort" ,  , "https://fedlex.data.admin.ch/filestore/fedlex.data.admin.ch/eli/cc/1994/2202_2202_2202/20200129/fr/pdf-a/fedlex-data-admin-ch-eli-cc-1994-2202_2202_2202-20200129-fr-pdf-a.pdf" ,
